'temp' 1 25.0
'caoh+' 2  -1.00 'h+'   1.00 'ca+2'  12.8500  4.0  1.0
'cap2o7-2' 2   1.00 'ca+2'   2.00 'hpo4-2'  -3.0561  4.0 -2.0
'capo4-' 2   1.00 'ca+2'   1.00 'po4-3'  -6.4600  4.0 -1.0
'caso4(aq)' 2   1.00 'ca+2'   1.00 'so4-2'  -2.1111  0.0  0.0
'cd(oh)+' 2   1.00 'cd+2'  -1.00 'h+'  10.0800  4.0  1.0
'cdoh+' 2   1.00 'cd+2'  -1.00 'h+'  12.6900  4.0  1.0
'cd(oh)2(aq)' 2  -2.00 'h+'   1.00 'cd+2'  20.3500  4.0  0.0
'cd(oh)3-' 2  -3.00 'h+'   1.00 'cd+2'  33.0000  3.0 -1.0
'cd(oh)4-2' 2  -4.00 'h+'   1.00 'cd+2'  47.3500  4.0 -2.0
'cdcl+' 2   1.00 'cd+2'   1.00 'cl-'  -2.0000  4.0  1.0
'*cdcl+' 2   1.00 'cd+2'   1.00 'cl-'  -1.8000  4.0  1.0
'cdcl2(aq)' 2   1.00 'cd+2'   2.00 'cl-'  -2.7000  0.0  0.0
'*cdcl2(aq)' 2   1.00 'cd+2'   2.00 'cl-'  -2.6000  0.0  0.0
'cdcl3-' 2   1.00 'cd+2'   3.00 'cl-'  -2.1000  4.0 -1.0
'cdbr+' 2   1.00 'cd+2'   1.00 'br-'  -2.2000  4.0  1.0
